SP,ST,ET,LB,LMin,LMax,LMean,LSD,UMin,UMax,UMean,USD
1350,2024-03-12T04:26:23,7.7679,0.5,1143.9948231589515,1196.7053856212353,1187.2458051685262,11.847242645566842,1196.7147937060968,1197.054515226535,1196.9570593641565,0.0988490217386151
1400,2024-03-12T04:35:53,6.406066666666666,0.5,1194.6429098246153,1249.4176873764984,1238.6726189449842,13.174697300251076,1249.428059764541,1251.0881665330028,1250.2194225504272,0.5449283990193305
1450,2024-03-12T04:46:23,6.5291,0.5,1248.1999041651725,1301.4728399247401,1292.4005729041692,12.086993232743286,1301.482944596462,1301.9175823945782,1301.7347254496988,0.0999840204306984
1500,2024-03-12T04:56:23,3.0446999999999997,0.5,1298.3140571735566,1348.7181489790796,1336.7313280159515,13.83049105935954,1348.7283008327695,1353.2426296229062,1351.006381814935,1.3191129418213559
1100,2024-03-12T05:06:23,157.55133333333333,0.5,86.91116811540701,1172.9443221548208,335.994333866292,274.6904859695188,52.29955323682407,86.58735051504846,65.34324530477036,11.141280803810712
0,2024-03-11T08:47:17,0.06286666666666667,0.5,19.999999998597502,20.000000000008185,19.999999999033438,4.0326715744123983e-10,19.999999329563604,19.999999998589733,19.999999834761315,1.8682593109847194e-07
100,2024-03-11T08:48:08,0.36733333333333335,0.5,19.382274860306097,19.857381284303674,19.67748737077223,0.14004158831328173,19.862147061557717,24.05210040259587,21.60544287123511,1.3691260243825862
600,2024-03-11T08:53:08,66.3585,0.5,13.159512704471126,467.7049203481188,339.5507275873523,137.01314226966574,467.7949808983344,473.1482046181991,469.9998461835018,0.9277857660838253
650,2024-03-11T10:23:08,22.0908,0.5,469.50333469407633,511.15339702617314,496.9266643974684,11.708523705651285,511.1982028464937,515.0037959612188,513.6070894831938,0.9968729016849834
700,2024-03-11T11:08:08,18.2294,0.5,512.0748208923615,551.7054093543242,538.4806019811618,11.331272351667913,551.75018711767,556.0874355452719,554.5767618653604,1.2070922561950252
750,2024-03-11T11:53:08,21.90673333333333,0.5,553.6340078849462,597.8894159561469,585.4730508900594,11.662757055415137,597.9243055796128,601.6305069102324,599.8548501004904,0.8637348174355703
800,2024-03-11T12:28:08,19.026999999999997,0.5,596.2317980149528,644.5639754415125,630.296766114538,12.681644735428648,644.5939191177288,647.1666053155163,645.8491890462872,0.5634161713539938
850,2024-03-11T12:58:08,14.583066666666667,0.5,640.6983231239719,688.5903951715478,674.8810471098336,13.030742647563198,688.620409160274,691.1286162796378,690.0483427578131,0.6201995539363445
900,2024-03-11T13:28:08,12.4384,0.5,687.9094711549114,734.626583257613,721.2901417980332,13.093683920842356,734.6563947975162,739.0292025873604,736.9573130159795,0.9753012125703091
950,2024-03-11T13:58:08,16.7307,0.5,735.9704588641762,786.2929965308277,775.3913394081221,12.196208129394496,786.3229640178375,788.0266555009791,787.7219123057023,0.45700072447581896
1000,2024-03-11T14:28:08,12.7415,0.5,784.7809114837437,834.9911757220837,823.8583407822495,12.438109425328992,835.0160038009378,837.175820884823,836.2808537317126,0.5640264174026346
1050,2024-03-11T14:53:08,13.141233333333334,0.5,833.7549808049225,886.9826550921556,875.6867878741829,12.943009192349825,887.0075232417851,888.1500221251406,887.8297579845238,0.23597685827719392
1100,2024-03-11T15:18:13,9.592,0.5,887.9957210940775,941.2763009380476,928.6963901660034,13.858084229289334,940.2995876180335,942.0692792054238,941.7940343364604,0.3062072143150841
1150,2024-03-11T15:38:13,8.7527,0.5,939.705747226195,991.0735387646349,980.1493389098757,13.121568924255943,991.0935654343384,993.0858050595277,992.049742211268,0.49600248572799915
1200,2024-03-11T15:58:13,8.4588,0.5,990.8718253266998,1041.7171540236093,1031.4898555112222,12.844423798335338,1041.0417274593078,1043.1666615058716,1042.566308889473,0.3656359266357026
1250,2024-03-11T16:18:14,6.5291,0.5,1040.0595712119248,1092.8296937515622,1080.9990148547984,13.496405875747373,1092.8397321902617,1094.1012188993295,1093.5036005953255,0.3892014096269324
1300,2024-03-11T16:28:14,7.4028,0.5,1090.8268929008045,1146.5787197353602,1135.125927722458,13.433762429211795,1146.5886736589769,1148.1092191779244,1147.1205902607167,0.3867826989690435
1350,2024-03-11T16:38:14,6.426,0.5,1145.062441608461,1199.884611235272,1188.9703274744759,13.251739651990388,1199.8944449762325,1200.1259547845914,1200.083432356635,0.047734576310215805
1400,2024-03-11T16:48:14,6.358733333333333,0.5,1197.3326893019257,1252.3532874195557,1242.6026291472995,13.138516796733635,1252.3632036069882,1253.1258825730824,1252.8620360325494,0.21816670738128588
1450,2024-03-11T16:58:14,5.9796000000000005,0.5,1249.879083208507,1304.614441850951,1294.8841610548343,12.803991760867572,1304.6244161478605,1305.1745889997476,1304.9176653005352,0.14225901288324527
1500,2024-03-11T17:08:14,6.7063,0.5,1300.6284290447365,1355.892547366779,1347.0324585846101,12.460909522264553,1355.9024858924615,1357.2836476735326,1356.667651328762,0.452301839603703
1100,2024-03-11T17:18:14,138.1471,0.5,107.31404254761355,1179.8885583017982,371.2061087252032,276.10515891565933,63.40333872224619,106.9483975208882,80.42415968849375,14.238066978036562
0,2024-03-10T11:56:13,0.007633333333333334,0.5,19.000000000114596,19.000000000114596,19.000000000114596,0,18.999999954244146,19.000000000169265,18.999999990826748,1.2819427152727656e-08
100,2024-03-10T12:00:08,,0.5,,,,,,,,
600,2024-03-10T12:04:43,67.63166666666667,0.5,9.269283903355245,469.27788543751444,342.54743984759284,137.7324012856687,469.36861901808334,476.1272175776594,470.8686023402384,1.2491618852124333
650,2024-03-10T13:35:14,21.364466666666665,0.5,470.0597125493223,508.36314322710604,496.2510548518163,10.36814982362863,508.40821859420174,513.067623376435,511.4515959432208,1.2818272609691446
700,2024-03-10T14:20:14,16.547733333333333,0.5,511.8552638310357,549.5459893818077,536.8743643153904,10.985083548564022,549.5906804034826,557.7488108580166,554.0394491101947,2.1503959385971867
750,2024-03-10T15:05:14,17.693133333333332,0.5,552.8013933931943,596.4563301502982,584.733600277514,11.595237406870213,596.4913004640719,601.4234582135649,599.1423713771036,1.1514052500727534
800,2024-03-10T15:40:14,16.481666666666666,0.5,597.3453408225905,642.3806425954506,630.1999034051458,11.733517694948691,642.4105483175174,645.3276134397387,644.2961635442745,0.8442247648202692
850,2024-03-10T16:10:14,16.062133333333332,0.5,643.0029088055599,690.6239240949237,677.325550129956,12.381717553679577,690.6538621921125,693.1452403815617,692.1563846591273,0.6779728363310729
900,2024-03-10T16:40:14,15.206133333333334,0.5,690.1763644299353,738.1979701349454,725.2385752807003,12.658883641915011,738.2280106016042,740.1766046545683,739.6275329360471,0.48940628534598396
950,2024-03-10T17:10:14,16.942266666666665,0.5,737.2452312998939,789.4009423383142,777.5561234491968,12.968696495777532,789.4309333447563,791.1228444142109,790.782385689452,0.4335870749183122
1000,2024-03-10T17:40:14,12.716000000000001,0.5,787.7064173746039,839.3653753342445,827.1597385316646,12.994177168000448,839.390398126952,842.1690869748313,840.8131307915346,0.8051954468310679
1050,2024-03-10T18:05:14,10.415166666666666,0.5,840.0648310265387,889.0037153654878,877.215524860485,12.885327135921562,889.0287803269666,892.3016811100631,890.8331448185222,0.9153414653288692
1100,2024-03-10T18:30:14,10.268400000000002,0.5,890.9144437229843,944.0200481342528,931.9337438284299,13.184206674618741,944.0400038300368,945.1190357945143,944.4411282438745,0.32159660104647486
1150,2024-03-10T18:50:14,7.8,0.5,939.9821052427869,992.7206228002921,980.5054696408986,14.040609290889913,992.7407349893161,994.2267271090958,993.719882155458,0.3130414605855297
1200,2024-03-10T19:10:19,8.4916,0.5,992.2261837316328,1042.428772319808,1032.1690345720265,12.693705181221283,1042.4486928530116,1044.2572038899339,1043.2500085715192,0.4635143692625498
1250,2024-03-10T19:30:19,5.5742,0.5,1041.5367375192582,1089.4742482465176,1078.3180126779055,12.786536128686398,1089.4841333733066,1093.3238567834007,1090.7556363182384,1.0332768532411536
1300,2024-03-10T19:40:19,7.179666666666666,0.5,1090.3729882052285,1144.1597273835712,1133.0751946576408,13.088477244713504,1144.1696742810477,1146.0990489398955,1144.987202885124,0.5654363531557596
1350,2024-03-10T19:50:19,7.511333333333334,0.5,1144.1745619692374,1198.7965169131915,1188.6213525155588,12.514746082398942,1198.1130550304224,1199.0251658519264,1198.8225161052133,0.23686691060720189
1400,2024-03-10T20:00:19,6.049166666666666,0.5,1194.6606279984117,1249.1444797050247,1238.974946930233,13.165658424151514,1249.1543587178487,1250.4060749935738,1249.8520610552948,0.3904737836091416
1450,2024-03-10T20:10:19,6.077866666666667,0.5,1246.08365262812,1301.0638422156612,1292.0090618416962,12.831427399399825,1300.8757370399262,1302.569571237087,1301.2148968940182,0.3500483493219222
1500,2024-03-10T20:20:19,7.168866666666667,0.5,1297.5301740482682,1353.7346344370208,1344.6128276923562,11.934643000983199,1353.7440578126475,1354.0684289548547,1353.979570804089,0.08723227787121769
1100,2024-03-10T20:29:49,243.7848,0.5,43.50267180545461,1159.215020888696,241.17030907077952,259.8363618339336,28.53317248010171,43.34989855336289,34.237237909038974,4.756573026775307
0,2024-03-10T11:56:13,0.007633333333333334,0.5,19.000000000114596,19.000000000114596,19.000000000114596,0,18.999999954244146,19.000000000169265,18.999999990826748,1.2819427152727656e-08
100,2024-03-10T12:00:08,,0.5,,,,,,,,
600,2024-03-10T12:04:43,67.63166666666667,0.5,9.269283903355245,469.27788543751444,342.54743984759284,137.7324012856687,469.36861901808334,476.1272175776594,470.8686023402384,1.2491618852124333
650,2024-03-10T13:35:14,21.364466666666665,0.5,470.0597125493223,508.36314322710604,496.2510548518163,10.36814982362863,508.40821859420174,513.067623376435,511.4515959432208,1.2818272609691446
